,fname,lname,email,password,office_address,gender,pincode,state,city,phone_number,experience,specialization,court_type,languages,rating,date_joined,resume,verified
97,Vihaan,Patel,vihaan.patel@gmail.com,,,Female,,Maharashtra,Pune,5573698887,15,Criminal Law,District Court,"['Bengali', 'English']",4.28,2023-12-17 11:18:15.168835,,False
98,Suhana,Roy,suhana.roy@gmail.com,,,Male,,Maharashtra,Pune,4245770149,24,Corporate Law,Supreme Court,"['Tamil', 'Telugu']",3.86,2023-12-17 11:18:15.168835,,False
99,Shlok,Gupta,shlok.gupta@gmail.com,,,Female,,Karnataka,Bangalore,4940174273,20,Criminal Law,Magistrate Court,"['Telugu', 'English', 'Hindi', 'Kannada']",4.37,2023-12-17 11:18:15.168835,,False
100,Raghav,Reddy,raghav.reddy@outlook.com,,,Male,,Telangana,Hyderabad,7288616644,17,Criminal Law,Magistrate Court,"['Hindi', 'Telugu', 'Tamil', 'Gujarati']",4.3,2023-12-17 11:18:15.168835,,False
101,Aarushi,Kumar,aarushi.kumar@outlook.com,,,Female,,Uttar Pradesh,Lucknow,2932421151,27,Personal Injury Law,Magistrate Court,"['Kannada', 'English', 'Hindi', 'Tamil']",3.04,2023-12-17 11:18:15.168835,,False
102,Niyati,Gupta,niyati.gupta@hotmail.com,,,Female,,Karnataka,Bangalore,1784897478,19,Immigration Law,District Court,"['Telugu', 'Bengali', 'Hindi', 'Gujarati', 'English', 'Marathi', 'Tamil', 'Kannada']",4.05,2023-12-17 11:18:15.168835,,False
103,Mira,Verma,mira.verma@outlook.com,,,Female,,Delhi,Delhi,912997429,19,Civil Rights Law,Magistrate Court,"['Telugu', 'Gujarati', 'English', 'Tamil', 'Kannada', 'Hindi', 'Bengali', 'Marathi']",3.58,2023-12-17 11:18:15.168835,,False
104,Ishaan,Chauhan,ishaan.chauhan@outlook.com,,,Male,,Tamil Nadu,Chennai,2769877091,25,Immigration Law,Sessions Court,"['Tamil', 'Marathi', 'Gujarati', 'English']",3.13,2023-12-17 11:18:15.168835,,False
105,Rudra,Thakur,rudra.thakur@hotmail.com,,,Female,,Telangana,Hyderabad,9062804176,10,Real Estate Law,District Court,"['Kannada', 'Telugu', 'Hindi', 'Marathi', 'Bengali', 'English', 'Tamil']",4.07,2023-12-17 11:18:15.168835,,False
106,Tanishq,Khan,tanishq.khan@outlook.com,,,Male,,Tamil Nadu,Chennai,5668721263,4,Civil Rights Law,District Court,"['Marathi', 'Tamil', 'Gujarati', 'Hindi']",4.96,2023-12-17 11:18:15.168835,,False
107,Tanvi,Kumar,tanvi.kumar@hotmail.com,,,Male,,Gujarat,Ahmedabad,5971127910,14,Criminal Law,High Court,"['Bengali', 'Marathi', 'Tamil', 'Hindi']",4.68,2023-12-17 11:18:15.168835,,False
108,Arjun,Choudhary,arjun.choudhary@outlook.com,,,Male,,Delhi,Delhi,1489298947,24,Personal Injury Law,District Court,"['Marathi', 'Tamil', 'Kannada', 'Telugu', 'English', 'Hindi', 'Gujarati']",3.27,2023-12-17 11:18:15.168835,,False
109,Kritika,Mishra,kritika.mishra@rediffmail.com,,,Male,,Tamil Nadu,Chennai,2066872468,19,Personal Injury Law,Sessions Court,"['Kannada', 'Telugu', 'Marathi', 'Gujarati', 'Tamil', 'Bengali', 'Hindi', 'English']",4.69,2023-12-17 11:18:15.168835,,False
110,Rudra,Reddy,rudra.reddy@gmail.com,,,Male,,Rajasthan,Jaipur,8260492248,25,Real Estate Law,Supreme Court,"['Telugu', 'Hindi', 'Marathi', 'Tamil', 'English', 'Bengali']",3.75,2023-12-17 11:18:15.168835,,False
111,Atharva,Sharma,atharva.sharma@rediffmail.com,,,Female,,Gujarat,Ahmedabad,2031765604,12,Immigration Law,District Court,"['Tamil', 'English']",3.88,2023-12-17 11:18:15.168835,,False
112,Mohit,Naik,mohit.naik@yahoo.com,,,Female,,Telangana,Hyderabad,1109839706,10,Personal Injury Law,Magistrate Court,"['Hindi', 'Kannada', 'Bengali', 'Telugu', 'Gujarati', 'Marathi', 'English']",4.17,2023-12-17 11:18:15.168835,,False
113,Ishita,Kumar,ishita.kumar@hotmail.com,,,Female,,Tamil Nadu,Chennai,4922840082,13,Civil Rights Law,Supreme Court,"['Marathi', 'Bengali', 'English']",3.08,2023-12-17 11:18:15.168835,,False
114,Suhana,Chauhan,suhana.chauhan@outlook.com,,,Female,,Telangana,Hyderabad,3941950998,24,Real Estate Law,District Court,"['Tamil', 'Telugu', 'Bengali', 'Gujarati', 'Marathi', 'English']",3.44,2023-12-17 11:18:15.168835,,False
115,Neev,Deshmukh,neev.deshmukh@hotmail.com,,,Male,,Tamil Nadu,Chennai,4288667554,4,Personal Injury Law,District Court,"['Tamil', 'English', 'Marathi']",4.83,2023-12-17 11:18:15.168835,,False
116,Kiara,Yadav,kiara.yadav@rediffmail.com,,,Male,,Uttar Pradesh,Lucknow,8047026458,5,Corporate Law,Supreme Court,"['Gujarati', 'Marathi', 'Telugu', 'Tamil', 'Hindi', 'Bengali', 'English', 'Kannada']",3.04,2023-12-17 11:18:15.168835,,False
