,fname,lname,email,password,office_address,gender,pincode,state,city,phone_number,experience,specialization,court_type,languages,rating,date_joined,degree_doc,verified,min_cost_per_hr
36,Samaira,Yadav,samaira.yadav@gmail.com,,,Male,226085,Uttar Pradesh,Lucknow,4290577889,4,Personal Injury Law,Magistrate Court,['Marathi'],3.49,2023-12-19 21:50:58.549698,,True,4575
37,Samaira,Kumar,samaira.kumar@outlook.com,,,Male,411058,Maharashtra,Mumbai,3321639887,20,Real Estate Law,Supreme Court,['Kannada'],4.29,2023-12-19 21:50:58.549698,,True,6596
38,Shreya,Jha,shreya.jha@gmail.com,,,Male,600028,Tamil Nadu,Chennai,7135837880,27,Personal Injury Law,Magistrate Court,"['Telugu', 'Tamil', 'Kannada', 'Hindi', 'English', 'Bengali', 'Gujarati']",3.85,2023-12-19 21:50:58.549698,,True,5843
39,Ishika,Roy,ishika.roy@rediffmail.com,,,Female,226021,Uttar Pradesh,Lucknow,7046786300,19,Real Estate Law,Sessions Court,"['Telugu', 'Bengali', 'Hindi', 'Marathi']",3.63,2023-12-19 21:50:58.549698,,True,4336
40,Vivaan,Verma,vivaan.verma@gmail.com,,,Male,110064,Delhi,Delhi,1139553266,23,Civil Rights Law,High Court,"['Telugu', 'Hindi', 'Marathi', 'Tamil', 'Bengali']",4.12,2023-12-19 21:50:58.549698,,True,2725
41,Ishika,Gupta,ishika.gupta@outlook.com,,,Male,600043,Tamil Nadu,Chennai,4755540596,23,Real Estate Law,Magistrate Court,"['Bengali', 'Marathi', 'Hindi', 'Gujarati']",3.04,2023-12-19 21:50:58.549698,,True,4804
42,Aarav,Reddy,aarav.reddy@rediffmail.com,,,Male,411010,Maharashtra,Mumbai,3822411740,22,Personal Injury Law,Sessions Court,['Tamil'],4.35,2023-12-19 21:50:58.549698,,True,6985
43,Neev,Singh,neev.singh@rediffmail.com,,,Male,226040,Uttar Pradesh,Lucknow,2842078176,11,Immigration Law,Sessions Court,"['Gujarati', 'Marathi', 'English', 'Bengali', 'Kannada', 'Hindi']",4.49,2023-12-19 21:50:58.549698,,True,6099
44,Shlok,Patel,shlok.patel@rediffmail.com,,,Male,380020,Gujarat,Ahmedabad,9665241735,4,Corporate Law,Sessions Court,['Gujarati'],3.96,2023-12-19 21:50:58.549698,,True,6008
45,Amaira,Reddy,amaira.reddy@outlook.com,,,Male,302083,Rajasthan,Jaipur,9874509362,11,Family Law,Magistrate Court,"['Marathi', 'Kannada', 'Bengali']",3.24,2023-12-19 21:50:58.549698,,True,3950
46,Viha,Yadav,viha.yadav@outlook.com,,,Male,226020,Uttar Pradesh,Lucknow,6212570428,17,Civil Rights Law,Magistrate Court,"['Marathi', 'Telugu', 'Bengali', 'Kannada', 'Gujarati', 'Tamil', 'Hindi']",3.93,2023-12-19 21:50:58.549698,,True,6886
47,Tanishq,Thakur,tanishq.thakur@outlook.com,,,Female,411014,Maharashtra,Mumbai,8266885556,5,Family Law,District Court,"['Kannada', 'Hindi']",3.75,2023-12-19 21:50:58.549698,,True,3770
48,Arjun,Pradhan,arjun.pradhan@gmail.com,,,Male,560085,Karnataka,Bangalore,5291205129,3,Criminal Law,Supreme Court,"['English', 'Telugu', 'Kannada', 'Hindi', 'Gujarati']",3.41,2023-12-19 21:50:58.549698,,True,6418
49,Mohit,Pradhan,mohit.pradhan@gmail.com,,,Male,226013,Uttar Pradesh,Lucknow,2490698229,19,Civil Rights Law,District Court,"['Bengali', 'Telugu', 'Kannada', 'Hindi', 'Tamil', 'English']",3.72,2023-12-19 21:50:58.549698,,True,6288
50,Chahat,Malhotra,chahat.malhotra@hotmail.com,,,Female,226082,Uttar Pradesh,Lucknow,7746851369,10,Corporate Law,Magistrate Court,"['Gujarati', 'Marathi', 'Bengali', 'Hindi', 'Kannada', 'English', 'Telugu', 'Tamil']",4.03,2023-12-19 21:50:58.549698,,True,2154
51,Ishani,Thakur,ishani.thakur@outlook.com,,,Female,500042,Telangana,Hyderabad,9471082474,21,Personal Injury Law,District Court,"['Gujarati', 'Tamil', 'Kannada', 'English']",4.36,2023-12-19 21:50:58.549698,,True,3108
52,Zain,Reddy,zain.reddy@gmail.com,,,Male,600081,Tamil Nadu,Chennai,9872996341,23,Personal Injury Law,Sessions Court,['Hindi'],4.32,2023-12-19 21:50:58.549698,,True,3509
53,Kiaan,Pathak,kiaan.pathak@outlook.com,,,Female,500030,Telangana,Hyderabad,4912120759,24,Personal Injury Law,Supreme Court,['English'],3.54,2023-12-19 21:50:58.549698,,True,2262
54,Avni,Chauhan,avni.chauhan@yahoo.com,,,Female,560068,Karnataka,Bangalore,3728823213,28,Family Law,Magistrate Court,"['Kannada', 'Telugu']",4.82,2023-12-19 21:50:58.549698,,True,2738
55,Vidhi,Singh,vidhi.singh@gmail.com,,,Male,380047,Gujarat,Ahmedabad,9413864577,15,Immigration Law,Supreme Court,"['English', 'Tamil', 'Gujarati', 'Bengali', 'Marathi']",4.44,2023-12-19 21:50:58.549698,,True,3804
56,Saanvi,Pandey,saanvi.pandey@hotmail.com,,,Male,600031,Tamil Nadu,Chennai,4915899269,23,Civil Rights Law,District Court,"['Tamil', 'Hindi', 'Kannada']",4.73,2023-12-19 21:50:58.549698,,True,3247
57,Eshan,Mishra,eshan.mishra@yahoo.com,,,Male,560084,Karnataka,Bangalore,3370277055,18,Family Law,High Court,"['Hindi', 'Gujarati', 'Marathi', 'Kannada', 'English', 'Bengali']",4.74,2023-12-19 21:50:58.549698,,True,6842
58,Misha,Sharma,misha.sharma@gmail.com,,,Female,302077,Rajasthan,Jaipur,6862525493,28,Real Estate Law,District Court,"['Tamil', 'Hindi', 'Gujarati']",3.27,2023-12-19 21:50:58.549698,,True,6910
59,Ishika,Das,ishika.das@hotmail.com,,,Female,380072,Gujarat,Ahmedabad,3430171354,28,Corporate Law,District Court,"['Telugu', 'Marathi', 'Tamil']",3.37,2023-12-19 21:50:58.549698,,True,6570
60,Ishaan,Yadav,ishaan.yadav@rediffmail.com,,,Female,600046,Tamil Nadu,Chennai,3926912412,11,Corporate Law,Magistrate Court,"['Marathi', 'Bengali']",3.52,2023-12-19 21:50:58.549698,,True,2178
61,Niyati,Das,niyati.das@yahoo.com,,,Male,380026,Gujarat,Ahmedabad,5949078934,11,Immigration Law,District Court,"['English', 'Kannada', 'Hindi', 'Gujarati']",4.92,2023-12-19 21:50:58.549698,,True,3271
62,Aarushi,Jha,aarushi.jha@gmail.com,,,Male,560095,Karnataka,Bangalore,6576366916,15,Corporate Law,Sessions Court,"['Bengali', 'Gujarati', 'English', 'Kannada', 'Marathi', 'Telugu', 'Tamil', 'Hindi']",4.28,2023-12-19 21:50:58.549698,,True,5099
63,Samaira,Pandey,samaira.pandey@rediffmail.com,,,Female,226090,Uttar Pradesh,Lucknow,8274852019,22,Civil Rights Law,Supreme Court,"['Kannada', 'Marathi', 'Gujarati', 'Tamil']",3.09,2023-12-19 21:50:58.549698,,True,5317
64,Riya,Pathak,riya.pathak@hotmail.com,,,Male,700037,West Bengal,Kolkata,5689301112,18,Civil Rights Law,Supreme Court,"['Marathi', 'Kannada', 'English', 'Telugu', 'Hindi', 'Gujarati', 'Tamil', 'Bengali']",4.1,2023-12-19 21:50:58.549698,,True,3971
65,Neev,Naik,neev.naik@outlook.com,,,Male,560028,Karnataka,Bangalore,9926770031,1,Family Law,Magistrate Court,"['Gujarati', 'Telugu']",3.15,2023-12-19 21:50:58.549698,,True,3239
66,Aarushi,Das,aarushi.das@gmail.com,,,Male,110074,Delhi,Delhi,5167980850,10,Corporate Law,High Court,"['Hindi', 'Kannada', 'Gujarati', 'Telugu', 'English']",4.14,2023-12-19 21:50:58.549698,,True,6501
67,Diya,Yadav,diya.yadav@rediffmail.com,,,Male,302031,Rajasthan,Jaipur,9479542774,11,Corporate Law,Sessions Court,"['Bengali', 'Kannada', 'Marathi', 'Tamil']",3.42,2023-12-19 21:50:58.549698,,True,2674
68,Rohan,Shah,rohan.shah@rediffmail.com,,,Female,560021,Karnataka,Bangalore,3007802999,16,Civil Rights Law,Sessions Court,"['Gujarati', 'English', 'Bengali', 'Tamil']",3.91,2023-12-19 21:50:58.549698,,True,3083
69,Aarushi,Shah,aarushi.shah@yahoo.com,,,Female,302042,Rajasthan,Jaipur,4638086467,19,Civil Rights Law,Magistrate Court,"['Hindi', 'Kannada', 'Marathi', 'Tamil', 'Bengali', 'Telugu', 'English', 'Gujarati']",3.56,2023-12-19 21:50:58.549698,,True,5195
70,Aarav,Deshmukh,aarav.deshmukh@gmail.com,,,Female,411071,Maharashtra,Pune,4937741952,11,Criminal Law,District Court,"['Telugu', 'Gujarati', 'Hindi', 'English', 'Marathi', 'Bengali', 'Tamil', 'Kannada']",3.81,2023-12-19 21:50:58.549698,,True,5579
71,Raghav,Pandey,raghav.pandey@outlook.com,,,Female,560056,Karnataka,Bangalore,8643357339,19,Corporate Law,District Court,['Telugu'],4.54,2023-12-19 21:50:58.549698,,True,4019
72,Aarohi,Verma,aarohi.verma@hotmail.com,,,Female,226052,Uttar Pradesh,Lucknow,3697945156,30,Criminal Law,High Court,"['Hindi', 'English', 'Gujarati']",4.17,2023-12-19 21:50:58.549698,,True,5364
73,Raghav,Naik,raghav.naik@outlook.com,,,Male,110026,Delhi,Delhi,4807329797,11,Civil Rights Law,Magistrate Court,"['Tamil', 'English', 'Hindi', 'Gujarati']",3.19,2023-12-19 21:50:58.549698,,True,4753
74,Saisha,Gupta,saisha.gupta@rediffmail.com,,,Male,380011,Gujarat,Ahmedabad,4451086007,28,Civil Rights Law,Magistrate Court,"['Gujarati', 'Marathi', 'Bengali', 'Telugu']",4.5,2023-12-19 21:50:58.549698,,True,3095
75,Shlok,Pandey,shlok.pandey@outlook.com,,,Female,302025,Rajasthan,Jaipur,9852397712,4,Immigration Law,High Court,"['Gujarati', 'Marathi', 'Kannada', 'Bengali', 'Hindi', 'Tamil', 'English', 'Telugu']",3.07,2023-12-19 21:50:58.549698,,True,4263
76,Diya,Shah,diya.shah@outlook.com,,,Female,560037,Karnataka,Bangalore,1775402905,11,Civil Rights Law,Supreme Court,"['Tamil', 'Marathi', 'Kannada', 'English']",3.94,2023-12-19 21:50:58.549698,,True,3205
77,Saanvi,Singh,saanvi.singh@gmail.com,,,Female,302076,Rajasthan,Jaipur,9716380142,11,Corporate Law,District Court,['Bengali'],3.04,2023-12-19 21:50:58.549698,,True,4525
78,Hrithik,Pandey,hrithik.pandey@hotmail.com,,,Male,110016,Delhi,Delhi,5349739137,17,Personal Injury Law,Sessions Court,"['Gujarati', 'Hindi', 'Marathi', 'Tamil', 'English', 'Bengali', 'Kannada']",4.88,2023-12-19 21:50:58.549698,,True,4285
79,Kavya,Pradhan,kavya.pradhan@outlook.com,,,Female,226074,Uttar Pradesh,Lucknow,7834325461,23,Family Law,High Court,"['Bengali', 'Telugu', 'Tamil', 'Marathi']",4.24,2023-12-19 21:50:58.549698,,True,4388
80,Ishaan,Rao,ishaan.rao@hotmail.com,,,Female,110024,Delhi,Delhi,1892737062,11,Personal Injury Law,Supreme Court,"['English', 'Tamil', 'Bengali', 'Hindi', 'Kannada', 'Telugu', 'Marathi', 'Gujarati']",3.55,2023-12-19 21:50:58.549698,,True,5350
81,Daivik,Jha,daivik.jha@yahoo.com,,,Male,700031,West Bengal,Kolkata,3086632007,16,Civil Rights Law,District Court,"['Bengali', 'English', 'Telugu', 'Kannada']",3.09,2023-12-19 21:50:58.549698,,True,3732
82,Riya,Kumar,riya.kumar@gmail.com,,,Male,411051,Maharashtra,Pune,9588024133,10,Criminal Law,Supreme Court,['Bengali'],3.94,2023-12-19 21:50:58.549698,,True,3565
83,Aarohi,Shah,aarohi.shah@yahoo.com,,,Male,700032,West Bengal,Kolkata,1100665992,2,Personal Injury Law,District Court,"['Hindi', 'Gujarati']",3.65,2023-12-19 21:50:58.549698,,True,5949
84,Suhana,Singh,suhana.singh@hotmail.com,,,Male,411035,Maharashtra,Mumbai,2004902954,24,Personal Injury Law,High Court,"['Tamil', 'Gujarati', 'Kannada', 'Hindi', 'Marathi', 'English', 'Bengali']",3.84,2023-12-19 21:50:58.549698,,True,3864
85,Neev,Pradhan,neev.pradhan@rediffmail.com,,,Male,380022,Gujarat,Ahmedabad,9294346202,21,Criminal Law,High Court,"['Bengali', 'Tamil']",4.34,2023-12-19 21:50:58.549698,,True,4207
86,Yash,Jha,yash.jha@yahoo.com,,,Female,411045,Maharashtra,Mumbai,4165858407,2,Criminal Law,Sessions Court,"['Telugu', 'Marathi', 'Hindi', 'Kannada']",3.67,2023-12-19 21:50:58.549698,,True,6734
87,Amaira,Kumar,amaira.kumar@hotmail.com,,,Female,110051,Delhi,Delhi,5770831327,3,Immigration Law,High Court,"['Telugu', 'Hindi']",4.16,2023-12-19 21:50:58.549698,,True,5482
88,Shreya,Reddy,shreya.reddy@rediffmail.com,,,Male,600096,Tamil Nadu,Chennai,6315058702,11,Immigration Law,District Court,"['Kannada', 'Marathi', 'Telugu', 'Gujarati']",4.71,2023-12-19 21:50:58.549698,,True,3575
89,Tanishq,Jha,tanishq.jha@yahoo.com,,,Female,110074,Delhi,Delhi,8732697247,7,Real Estate Law,Magistrate Court,['Marathi'],3.6,2023-12-19 21:50:58.549698,,True,4057
90,Zara,Kumar,zara.kumar@yahoo.com,,,Female,560039,Karnataka,Bangalore,1197223686,6,Civil Rights Law,Supreme Court,['Tamil'],4.13,2023-12-19 21:50:58.549698,,True,6174
91,Ishita,Rao,ishita.rao@outlook.com,,,Male,500072,Telangana,Hyderabad,2265519234,15,Corporate Law,District Court,['Bengali'],3.07,2023-12-19 21:50:58.549698,,True,3925
92,Vivaan,Deshmukh,vivaan.deshmukh@outlook.com,,,Female,110073,Delhi,Delhi,6916947194,29,Real Estate Law,High Court,"['Kannada', 'Bengali', 'Gujarati']",3.38,2023-12-19 21:50:58.549698,,True,6755
93,Misha,Pradhan,misha.pradhan@rediffmail.com,,,Male,226063,Uttar Pradesh,Lucknow,8115603243,5,Immigration Law,High Court,"['Tamil', 'Gujarati']",3.08,2023-12-19 21:50:58.549698,,True,6019
94,Rohan,Patel,rohan.patel@hotmail.com,,,Male,411091,Maharashtra,Mumbai,3642310904,12,Real Estate Law,Magistrate Court,"['Telugu', 'Marathi']",4.59,2023-12-19 21:50:58.549698,,True,3743
95,Jhanvi,Deshmukh,jhanvi.deshmukh@outlook.com,,,Female,700029,West Bengal,Kolkata,5745679128,3,Corporate Law,Magistrate Court,"['Gujarati', 'Tamil', 'English', 'Marathi', 'Hindi', 'Kannada', 'Telugu']",3.4,2023-12-19 21:50:58.549698,,True,3212
96,Kiaan,Thakur,kiaan.thakur@hotmail.com,,,Female,302021,Rajasthan,Jaipur,1635132449,22,Civil Rights Law,Magistrate Court,"['Marathi', 'Tamil', 'English', 'Telugu', 'Hindi', 'Bengali']",3.21,2023-12-19 21:50:58.549698,,True,2170
97,Neha,Chauhan,neha.chauhan@gmail.com,,,Female,600038,Tamil Nadu,Chennai,4191597368,24,Criminal Law,Magistrate Court,"['Marathi', 'Hindi', 'Kannada', 'Tamil', 'Telugu', 'English']",3.7,2023-12-19 21:50:58.549698,,True,3644
98,Atharva,Chauhan,atharva.chauhan@outlook.com,,,Female,411071,Maharashtra,Mumbai,3219890361,26,Civil Rights Law,Sessions Court,"['Marathi', 'Gujarati', 'Hindi', 'English', 'Bengali', 'Telugu', 'Kannada', 'Tamil']",4.39,2023-12-19 21:50:58.549698,,True,6920
99,Rohan,Chauhan,rohan.chauhan@rediffmail.com,,,Male,560082,Karnataka,Bangalore,7760549462,25,Criminal Law,High Court,"['Bengali', 'Marathi', 'Tamil', 'Gujarati', 'Kannada', 'Telugu']",3.73,2023-12-19 21:50:58.549698,,True,6774
100,Neha,Jha,neha.jha@gmail.com,,,Female,110066,Delhi,Delhi,7582644141,10,Civil Rights Law,Magistrate Court,"['Gujarati', 'English']",4.55,2023-12-19 21:50:58.549698,,True,2081
101,Aarav,Thakur,aarav.thakur@hotmail.com,,,Female,700034,West Bengal,Kolkata,4103583080,14,Corporate Law,High Court,['Hindi'],3.97,2023-12-19 21:50:58.549698,,True,5062
102,Ishani,Gupta,ishani.gupta@rediffmail.com,,,Male,380096,Gujarat,Ahmedabad,2850432903,19,Corporate Law,High Court,"['Bengali', 'English', 'Hindi', 'Telugu', 'Gujarati', 'Tamil', 'Kannada']",3.2,2023-12-19 21:50:58.549698,,True,2455
103,Kritika,Thakur,kritika.thakur@outlook.com,,,Female,700070,West Bengal,Kolkata,7288570546,14,Personal Injury Law,Sessions Court,"['Gujarati', 'Telugu', 'English', 'Bengali', 'Tamil', 'Marathi', 'Hindi', 'Kannada']",3.32,2023-12-19 21:50:58.549698,,True,4449
104,Daivik,Chauhan,daivik.chauhan@hotmail.com,,,Male,380086,Gujarat,Ahmedabad,9199665878,13,Personal Injury Law,Supreme Court,"['Tamil', 'English', 'Marathi', 'Gujarati', 'Telugu', 'Bengali', 'Hindi', 'Kannada']",4.6,2023-12-19 21:50:58.549698,,True,6892
105,Bhavya,Sharma,bhavya.sharma@rediffmail.com,,,Female,560031,Karnataka,Bangalore,6706814521,9,Immigration Law,Sessions Court,"['Marathi', 'Telugu', 'Bengali', 'Hindi', 'Tamil', 'Kannada', 'English', 'Gujarati']",3.66,2023-12-19 21:50:58.549698,,True,2954
106,Sia,Thakur,sia.thakur@rediffmail.com,,,Male,700030,West Bengal,Kolkata,2156724738,24,Immigration Law,Supreme Court,['Telugu'],3.69,2023-12-19 21:50:58.549698,,True,2992
107,Esha,Pradhan,esha.pradhan@yahoo.com,,,Female,500027,Telangana,Hyderabad,819971004,23,Immigration Law,Magistrate Court,"['Telugu', 'Tamil', 'Hindi', 'Kannada']",4.14,2023-12-19 21:50:58.549698,,True,3971
108,Kritika,Rao,kritika.rao@yahoo.com,,,Male,700022,West Bengal,Kolkata,8024907580,22,Family Law,Sessions Court,"['Bengali', 'English', 'Marathi', 'Kannada', 'Gujarati']",4.0,2023-12-19 21:50:58.549698,,True,5135
109,Chahat,Das,chahat.das@yahoo.com,,,Male,380066,Gujarat,Ahmedabad,4908916644,25,Personal Injury Law,High Court,"['Hindi', 'Gujarati', 'Tamil']",4.84,2023-12-19 21:50:58.549698,,True,6887
